X	Y
10	1.0
10	0.9
10	0.8
20	1.3
20	0.9
30	0.6
30	1.1
30	1.0
40	1.4
40	1.4
40	1.2
50	1.7
50	0.9
50	1.2
50	1.3
60	0.7
60	1.0
70	1.3
70	1.5
70	2.0
80	0.8
80	0.6
80	1.8
90	1.0
100	2.0
100	0.5
100	1.5
110	1.3
110	1.7
110	1.2
110	0.8
120	1.0
120	1.8
120	2.1
130	1.5
130	1.9
140	1.7
150	1.2
150	1.4
150	2.1
160	0.9
160	1.1
160	1.7
160	2.0
170	1.6
170	1.9
170	1.7
180	2.2
180	2.4
180	1.6
190	1.8
190	4.1
190	2.0
200	1.5
200	2.1
200	2.5
220	1.7
220	2.0
220	2.3
220	1.8
230	1.3
230	1.6
230	2.8
230	2.2
230	2.6
240	1.4
240	1.6
240	1.7
250	1.5
250	2.2
250	2.5
260	2.4
260	2.0
260	2.7
270	2.0
270	2.2
270	2.4
280	1.8
290	2.8
290	2.2
290	2.4
290	2.1
290	1.9
300	2.4
300	2.5
300	2.9
300	2.0
310	1.9
310	2.5
310	2.6
320	3.2
320	2.8
320	2.4
320	2.5
330	2.0
340	2.4
340	2.2
340	2.0
350	2.5
350	2.8
350	2.3
350	2.7
360	2.8
360	3.1
370	2.5
370	2.9
370	2.6
380	3.0
380	3.2
390	2.9
390	2.6
390	2.5
400	2.7
400	3.1
400	2.4
400	3.0
420	3.4
420	3.5
420	3.1
420	2.9
430	2.8
430	3.3
440	2.5
440	2.8
450	2.4
450	2.6
450	3.0
460	3.4
460	3.0
470	3.3
470	3.4
470	3.1
480	3.6
480	3.0
480	2.9
480	3.2
490	2.6
490	3.8
490	3.3
500	2.9
